load,comparison,n1,n2,mean1,mean2,diff,t_stat,p_value,cohens_d,significant
3.0,HCA2C vs A2C,5,5,228878.79702275913,428603.91065388324,-199725.1136311241,-2.5551747515925802,0.06295880119157221,-1.6160344069575008,No
3.0,HCA2C vs PPO,5,5,228878.79702275913,411085.52996337425,-182206.73294061513,-9.708819123606892,0.0006298128524937142,-6.140396364239523,Yes
3.0,A2C vs PPO,5,5,428603.91065388324,411085.52996337425,0.0,0.2179277695648044,0.8371000300584814,0.13782962344502067,No
5.0,HCA2C vs A2C,5,5,79457.94051602614,771222.4552328468,-691764.5147168207,-930.3731673233282,3.305919894745207e-12,-588.4196565293316,Yes
5.0,HCA2C vs PPO,5,5,79457.94051602614,482715.5004049752,-403257.55988894904,-15.714375879658805,9.577125635135131e-05,-9.938643957546773,Yes
5.0,A2C vs PPO,5,5,771222.4552328468,482715.5004049752,0.0,11.23816929968307,0.0003539032863679953,7.107642343515579,Yes
7.0,HCA2C vs A2C,5,5,-134253.81558920824,112518.70143010696,-246772.51701931522,-9.138905959506966,0.0007951199804439908,-5.779951630825709,Yes
7.0,HCA2C vs PPO,5,5,-134253.81558920824,85312.40656259391,-219566.22215180215,-1031.6952254213604,1.8895522817433123e-12,-652.5013526904697,Yes
7.0,A2C vs PPO,5,5,112518.70143010696,85312.40656259391,0.0,1.0075804338174308,0.37065867663697355,0.6372498193367251,No
