algorithm,load,n,mean,std,min,max,median,cv,crash_rate_mean,train_time_mean,mean_std
A2C,3.0,5,428603.9106538832,174781.95126680715,115945.28753859458,507225.50733726495,506589.20704722585,40.779364565329736,0.0,43.225356578826904,428603.9 ± 174782.0
A2C,5.0,5,771222.4552328469,1646.8020406776766,769766.8032228942,774015.7669409654,770798.4167902078,0.2135313915594529,0.0,43.73399419784546,771222.5 ± 1646.8
A2C,7.0,5,112518.70143010696,60377.39709251213,85435.83158389133,220524.93001336517,85496.3861414281,53.65987726939478,0.0,196.68776640892028,112518.7 ± 60377.4
HCA2C,3.0,5,228878.79702275913,262.0578625641426,228520.5621752437,229114.71058416256,229005.9629228038,0.11449634740001026,0.0,8323.90447587967,228878.8 ± 262.1
HCA2C,5.0,5,79457.94051602614,228.60563869640671,79152.39337346183,79699.12367902641,79420.36058646864,0.2877064736535658,0.0,8342.54692530632,79457.9 ± 228.6
HCA2C,7.0,5,-134253.81558920824,470.71821674020487,-135072.70136782536,-133912.27476953182,-134125.655566899,0.35061812930555003,0.0,5225.020495176315,-134253.8 ± 470.7
PPO,3.0,5,411085.52996337425,41963.77452215535,373046.54504259664,461105.06689617864,390733.7845866513,10.20803980278608,0.0,40.314501190185545,411085.5 ± 41963.8
PPO,5.0,5,482715.5004049752,57380.8445988738,419518.4302560724,544505.2689522932,493894.091968343,11.887093857714124,0.0,40.09778790473938,482715.5 ± 57380.8
PPO,7.0,5,85312.40656259391,69.91326071486769,85251.09519521776,85418.30859619779,85288.45617669456,0.08194969938349138,0.0,246.3212474822998,85312.4 ± 69.9
