file,n_rows,min_reward,max_reward,mean_reward,median_reward,reward_scale
capacity_scan_results_all.csv,120,-1472.4440232572983,488160.3391227165,27399.736431596277,-117.90249911963869,~tens_of_thousands
capacity_scan_results_complete.csv,220,-48268.34825205448,763144.0773456948,233234.40518027774,164792.74234342706,~hundreds_of_thousands
capacity_scan_results_inverted.csv,16,-1472.4440232572983,488160.3391227165,76714.27860557205,-107.8241873000385,~tens_of_thousands
capacity_scan_results_inverted_15_25.csv,24,-1202.778919685968,44.78181818181819,-292.7981485620262,-117.34178483392442,negative
capacity_scan_results_inverted_3_7_10.csv,60,15.147354150413184,595406.7777629307,328639.9303966914,447500.4430577827,~hundreds_of_thousands
capacity_scan_results_reverse.csv,16,-1470.6278019752626,392175.5219692794,55639.05136699563,-111.23512195450252,~tens_of_thousands
capacity_scan_results_reverse_15_25.csv,24,-1201.637560483515,41.74285714285715,-295.02630133857434,-119.37216728085829,negative
capacity_scan_results_reverse_3_7_10.csv,60,2.6108938680903373,581064.6622118305,297420.58526832814,387280.5992650014,~hundreds_of_thousands
capacity_scan_results_reverse_6.csv,60,-125909.24699162618,393480.945513918,113323.83757782196,-67.84179896403273,~hundreds_of_thousands
capacity_scan_results_server_backup.csv,60,-125909.24699162618,393480.945513918,113323.83757782196,-67.84179896403273,~hundreds_of_thousands
capacity_scan_results_uniform.csv,16,-1471.7005039125063,475188.6938505904,74464.40908034891,-108.36346034636864,~tens_of_thousands
capacity_scan_results_uniform_15_25.csv,24,-1200.7076372698143,48.04761904761905,-291.98609406240865,-116.8475264249762,negative
capacity_scan_results_uniform_3_4.csv,40,247334.4869916217,763144.0773456948,487530.78008364735,584665.8330377843,~hundreds_of_thousands
capacity_scan_results_uniform_6_7.csv,120,-48268.34825205448,491364.324497951,128662.40618253475,-60.20874048174048,~hundreds_of_thousands
capacity_scan_results_uniform_8_9_10.csv,60,-348.5828875738366,558891.4317313613,272847.4865735175,461730.51374260534,~hundreds_of_thousands
