Region,Model,Mean Reward,Std Reward,Mean Utilization,Std Utilization,Mean Load Rate,Std Load Rate,Mean Throughput,Std Throughput,Mean Stability,Std Stability,R_throughput,R_balance,R_efficiency,transfer_benefit,stability_bonus,P_congestion,P_instability
Region_A_Standard,A2C,3765.73,105.47,0.0015,0.0007,0.1562,0.0000,1.18,0.05,1.9104,0.0220,11.79,4.892,0.251,0.000,1.910,0.000,0.000
Region_A_Standard,PPO,3765.60,105.42,0.0015,0.0007,0.1563,0.0000,1.18,0.05,1.9104,0.0220,11.79,4.892,0.250,0.000,1.910,0.000,0.000
Region_A_Standard,TD7,3766.45,105.50,0.0015,0.0007,0.1562,0.0000,1.18,0.05,1.9104,0.0220,11.79,4.892,0.254,0.000,1.910,0.000,0.000
Region_B_Weather,A2C,3998.70,122.22,0.0018,0.0008,0.1953,0.0000,1.30,0.06,1.8934,0.0243,12.98,4.848,0.276,0.000,1.893,0.000,0.000
Region_B_Weather,PPO,3998.46,122.17,0.0018,0.0008,0.1953,0.0000,1.30,0.06,1.8934,0.0243,12.98,4.848,0.275,0.000,1.893,0.000,0.000
Region_B_Weather,TD7,4003.10,125.09,0.0018,0.0008,0.1953,0.0000,1.30,0.06,1.8925,0.0247,13.01,4.847,0.281,0.000,1.893,0.000,0.000
Region_C_Traffic,A2C,5121.40,239.64,0.0048,0.0014,0.2602,0.0000,1.87,0.12,1.8259,0.0378,18.69,4.698,0.398,0.000,1.826,0.000,0.000
Region_C_Traffic,PPO,5123.49,231.59,0.0048,0.0012,0.2602,0.0000,1.87,0.12,1.8233,0.0365,18.70,4.710,0.393,0.000,1.823,0.000,0.000
Region_C_Traffic,TD7,5130.15,226.92,0.0048,0.0012,0.2602,0.0000,1.87,0.12,1.8232,0.0364,18.73,4.708,0.404,0.000,1.823,0.000,0.000
Region_D_Regulation,A2C,3892.49,138.07,0.0025,0.0012,0.1786,0.0000,1.25,0.07,1.8957,0.0318,12.45,4.861,0.265,0.000,1.896,0.000,0.000
Region_D_Regulation,PPO,3892.75,138.43,0.0025,0.0012,0.1786,0.0000,1.25,0.07,1.8957,0.0319,12.45,4.864,0.264,0.000,1.896,0.000,0.000
Region_D_Regulation,TD7,3887.57,147.72,0.0025,0.0012,0.1786,0.0000,1.24,0.07,1.8968,0.0315,12.42,4.862,0.268,0.000,1.897,0.000,0.000
Region_E_EnergyCost,A2C,3888.60,169.54,0.0028,0.0005,0.1749,0.0000,1.25,0.08,1.8929,0.0106,12.45,4.845,0.265,0.000,1.893,0.000,0.000
Region_E_EnergyCost,PPO,3887.19,168.13,0.0028,0.0005,0.1749,0.0000,1.24,0.08,1.8929,0.0106,12.45,4.844,0.264,0.000,1.893,0.000,0.000
Region_E_EnergyCost,TD7,3888.27,168.48,0.0028,0.0004,0.1749,0.0000,1.24,0.08,1.8929,0.0106,12.45,4.844,0.269,0.000,1.893,0.000,0.000
