experiment,algorithm,total_capacity,layer_capacities,load_multiplier,timesteps,seed,training_time_sec,mean_reward,std_reward,mean_length,crash_rate
extended_training,A2C,30,"[6, 6, 6, 6, 6]",10.0,500000,42,161.91371607780457,15.322451787312549,22.18994717141292,1.0,1.0
extended_training,A2C,30,"[6, 6, 6, 6, 6]",10.0,500000,43,165.03162908554077,17.007289678575386,21.493298312444402,1.0,1.0
extended_training,A2C,30,"[6, 6, 6, 6, 6]",10.0,500000,44,165.75211715698242,18.23001076701076,21.45962585052324,1.0,1.0
extended_training,A2C,30,"[6, 6, 6, 6, 6]",10.0,500000,45,162.897931098938,18.419693965324672,21.585409219812817,1.0,1.0
extended_training,A2C,30,"[6, 6, 6, 6, 6]",10.0,500000,46,156.94932007789612,17.72823115700408,22.64706080522016,1.0,1.0
extended_training,PPO,30,"[6, 6, 6, 6, 6]",10.0,500000,42,201.13733410835266,16.643896560332244,21.298318732898885,1.0,1.0
extended_training,PPO,30,"[6, 6, 6, 6, 6]",10.0,500000,43,199.2922282218933,17.051188399889647,21.50208976865101,1.0,1.0
extended_training,PPO,30,"[6, 6, 6, 6, 6]",10.0,500000,44,201.99626874923706,18.27439725189518,21.468450081527983,1.0,1.0
extended_training,PPO,30,"[6, 6, 6, 6, 6]",10.0,500000,45,202.31353998184204,18.419693965324672,21.585409219812817,1.0,1.0
extended_training,PPO,30,"[6, 6, 6, 6, 6]",10.0,500000,46,199.93708491325378,18.96263172466077,21.697599550962305,1.0,1.0
extended_training,A2C,40,"[8, 8, 8, 8, 8]",10.0,500000,42,169.42838501930237,-26.327560614892217,23.127016063158262,1.0,1.0
extended_training,A2C,40,"[8, 8, 8, 8, 8]",10.0,500000,43,167.87119698524475,-25.769766928633807,22.68758825274074,1.0,1.0
extended_training,A2C,40,"[8, 8, 8, 8, 8]",10.0,500000,44,168.16112399101257,-25.06755689109181,22.841794984963048,1.0,1.0
extended_training,A2C,40,"[8, 8, 8, 8, 8]",10.0,500000,45,169.61014604568481,-25.063161286696207,22.843434278179135,1.0,1.0
extended_training,A2C,40,"[8, 8, 8, 8, 8]",10.0,500000,46,163.98680710792542,-24.101187650768814,23.81977580730278,1.0,1.0
extended_training,PPO,40,"[8, 8, 8, 8, 8]",10.0,500000,42,204.8904151916504,-26.327560614892217,23.127016063158262,1.0,1.0
extended_training,PPO,40,"[8, 8, 8, 8, 8]",10.0,500000,43,202.98005199432373,-25.720827983761247,22.696967063888586,1.0,1.0
extended_training,PPO,40,"[8, 8, 8, 8, 8]",10.0,500000,44,201.0866198539734,-26.115333830045458,23.319754429183828,1.0,1.0
extended_training,PPO,40,"[8, 8, 8, 8, 8]",10.0,500000,45,200.55286812782288,-26.49479886088967,23.602732173516166,1.0,1.0
extended_training,PPO,40,"[8, 8, 8, 8, 8]",10.0,500000,46,200.8849630355835,-25.091897716229596,24.3273193295543,1.0,1.0
