family,algorithm,shape,total_capacity,layer_capacities,load_multiplier,seed,mean_reward,std_reward,mean_length,crash_rate
RL,A2C,reverse,10,"[1, 1, 2, 3, 3]",3.0,42,230818.23224371579,1111.6516192118322,10000.0,0.0
RL,A2C,reverse,10,"[1, 1, 2, 3, 3]",3.0,43,230755.3314488019,1090.3216556401442,10000.0,0.0
RL,A2C,reverse,10,"[1, 1, 2, 3, 3]",3.0,44,462777.4808954157,1137.5309653407378,10000.0,0.0
RL,A2C,reverse,10,"[1, 1, 2, 3, 3]",3.0,45,230883.32339776878,1104.6131672170527,10000.0,0.0
RL,A2C,reverse,10,"[1, 1, 2, 3, 3]",3.0,46,230728.26366517812,1138.1821132684233,10000.0,0.0
RL,PPO,reverse,10,"[1, 1, 2, 3, 3]",3.0,42,230856.83262488229,1137.0202862691062,10000.0,0.0
RL,PPO,reverse,10,"[1, 1, 2, 3, 3]",3.0,43,230774.38773942646,1172.0794194103069,10000.0,0.0
RL,PPO,reverse,10,"[1, 1, 2, 3, 3]",3.0,44,230790.57364943207,1188.40804776734,10000.0,0.0
RL,PPO,reverse,10,"[1, 1, 2, 3, 3]",3.0,45,231051.87925838731,1071.9866602867996,10000.0,0.0
RL,PPO,reverse,10,"[1, 1, 2, 3, 3]",3.0,46,230841.8313099791,1143.9387238600482,10000.0,0.0
RL,A2C,reverse,10,"[1, 1, 2, 3, 3]",7.0,42,387363.15375965694,1331.9318573232322,10000.0,0.0
RL,A2C,reverse,10,"[1, 1, 2, 3, 3]",7.0,43,387627.0590196584,1349.1761967387429,10000.0,0.0
RL,A2C,reverse,10,"[1, 1, 2, 3, 3]",7.0,44,387198.0447703459,1338.9554358102612,10000.0,0.0
RL,A2C,reverse,10,"[1, 1, 2, 3, 3]",7.0,45,387488.57781662926,1339.67357633029,10000.0,0.0
RL,A2C,reverse,10,"[1, 1, 2, 3, 3]",7.0,46,387402.4643492695,1330.2522682615725,10000.0,0.0
RL,PPO,reverse,10,"[1, 1, 2, 3, 3]",7.0,42,387829.2949980688,1359.5109061469539,10000.0,0.0
RL,PPO,reverse,10,"[1, 1, 2, 3, 3]",7.0,43,387422.60764230066,1299.1368666099163,10000.0,0.0
RL,PPO,reverse,10,"[1, 1, 2, 3, 3]",7.0,44,387541.79783644294,1311.3018396773418,10000.0,0.0
RL,PPO,reverse,10,"[1, 1, 2, 3, 3]",7.0,45,387443.5110515349,1308.015624530986,10000.0,0.0
RL,PPO,reverse,10,"[1, 1, 2, 3, 3]",7.0,46,387633.3942737576,1334.2669481258943,10000.0,0.0
RL,A2C,reverse,10,"[1, 1, 2, 3, 3]",10.0,42,475374.34566460317,1619.2197710174173,10000.0,0.0
RL,A2C,reverse,10,"[1, 1, 2, 3, 3]",10.0,43,475170.3362116186,1604.6485034618377,10000.0,0.0
RL,A2C,reverse,10,"[1, 1, 2, 3, 3]",10.0,44,475700.2390550713,1419.2903197681883,10000.0,0.0
RL,A2C,reverse,10,"[1, 1, 2, 3, 3]",10.0,45,475432.0877957616,1638.7560743400404,10000.0,0.0
RL,A2C,reverse,10,"[1, 1, 2, 3, 3]",10.0,46,475690.3263517639,1480.4822283068543,10000.0,0.0
RL,PPO,reverse,10,"[1, 1, 2, 3, 3]",10.0,42,475371.86037037335,1611.0001192251946,10000.0,0.0
RL,PPO,reverse,10,"[1, 1, 2, 3, 3]",10.0,43,475544.3732834379,1606.180003400054,10000.0,0.0
RL,PPO,reverse,10,"[1, 1, 2, 3, 3]",10.0,44,475285.6463616985,1601.1392296416498,10000.0,0.0
RL,PPO,reverse,10,"[1, 1, 2, 3, 3]",10.0,45,475472.17305575503,1511.4007750259575,10000.0,0.0
RL,PPO,reverse,10,"[1, 1, 2, 3, 3]",10.0,46,475301.0841568158,1680.8096834598248,10000.0,0.0
RL,A2C,reverse,30,"[3, 4, 5, 8, 10]",3.0,42,579567.7253266264,1870.3221310176093,10000.0,0.0
RL,A2C,reverse,30,"[3, 4, 5, 8, 10]",3.0,43,579587.4331666717,1828.5180940497414,10000.0,0.0
RL,A2C,reverse,30,"[3, 4, 5, 8, 10]",3.0,44,581064.6622118305,1716.2887894345733,10000.0,0.0
RL,A2C,reverse,30,"[3, 4, 5, 8, 10]",3.0,45,579691.284158162,1806.7814957396997,10000.0,0.0
RL,A2C,reverse,30,"[3, 4, 5, 8, 10]",3.0,46,580990.98704115,1791.0179242383936,10000.0,0.0
RL,PPO,reverse,30,"[3, 4, 5, 8, 10]",3.0,42,579803.0961422347,1871.285729300039,10000.0,0.0
RL,PPO,reverse,30,"[3, 4, 5, 8, 10]",3.0,43,579780.7754530357,1836.5934160164056,10000.0,0.0
RL,PPO,reverse,30,"[3, 4, 5, 8, 10]",3.0,44,579710.249679313,1793.0373590470174,10000.0,0.0
RL,PPO,reverse,30,"[3, 4, 5, 8, 10]",3.0,45,579679.2684333335,1771.1965560138601,10000.0,0.0
RL,PPO,reverse,30,"[3, 4, 5, 8, 10]",3.0,46,579618.1867994922,1879.0025397908862,10000.0,0.0
RL,A2C,reverse,30,"[3, 4, 5, 8, 10]",7.0,42,76392.75381543214,68027.9665765439,1390.26,1.0
RL,A2C,reverse,30,"[3, 4, 5, 8, 10]",7.0,43,112496.18582596509,92526.06369997906,1981.12,1.0
RL,A2C,reverse,30,"[3, 4, 5, 8, 10]",7.0,44,68871.56427288905,64710.000214895525,1254.12,1.0
RL,A2C,reverse,30,"[3, 4, 5, 8, 10]",7.0,45,178782.35714895374,156501.1497436496,3085.0,0.94
RL,A2C,reverse,30,"[3, 4, 5, 8, 10]",7.0,46,117887.34855618808,94549.2840823318,2077.78,1.0
RL,PPO,reverse,30,"[3, 4, 5, 8, 10]",7.0,42,79780.28604252082,66385.72184254501,1427.28,1.0
RL,PPO,reverse,30,"[3, 4, 5, 8, 10]",7.0,43,85241.46980816146,68028.3785288885,1485.72,1.0
RL,PPO,reverse,30,"[3, 4, 5, 8, 10]",7.0,44,71752.74370964002,70971.75938625766,1268.56,1.0
RL,PPO,reverse,30,"[3, 4, 5, 8, 10]",7.0,45,84848.60293797229,69087.83876777097,1478.32,1.0
RL,PPO,reverse,30,"[3, 4, 5, 8, 10]",7.0,46,2.6108938680903373,17.289645182223293,1.0,1.0
RL,A2C,reverse,30,"[3, 4, 5, 8, 10]",10.0,42,11.676201251230836,18.549746627982337,1.0,1.0
RL,A2C,reverse,30,"[3, 4, 5, 8, 10]",10.0,43,11.849794862588423,18.646222279119403,1.0,1.0
RL,A2C,reverse,30,"[3, 4, 5, 8, 10]",10.0,44,12.656053365989782,18.386241954213148,1.0,1.0
RL,A2C,reverse,30,"[3, 4, 5, 8, 10]",10.0,45,11.319075602886716,19.49125634779217,1.0,1.0
RL,A2C,reverse,30,"[3, 4, 5, 8, 10]",10.0,46,12.512896368594568,18.33253799670383,1.0,1.0
RL,PPO,reverse,30,"[3, 4, 5, 8, 10]",10.0,42,10.291965846090186,19.14639824915204,1.0,1.0
RL,PPO,reverse,30,"[3, 4, 5, 8, 10]",10.0,43,10.465994831597431,19.25489346928328,1.0,1.0
RL,PPO,reverse,30,"[3, 4, 5, 8, 10]",10.0,44,11.273994831597433,19.070632156947145,1.0,1.0
RL,PPO,reverse,30,"[3, 4, 5, 8, 10]",10.0,45,11.289414591734497,19.083881498273264,1.0,1.0
RL,PPO,reverse,30,"[3, 4, 5, 8, 10]",10.0,46,11.675227141160521,18.66363578920571,1.0,1.0
